,YEAR,actual_result_mapped,electoral_votes,electoral_votes_1,electoral_votes_2,electoral_votes_3,electoral_votes_4
0,2000,DEMOCRAT,267,286,225,224,225
1,2000,REPUBLICAN,271,252,313,314,313
2,2004,DEMOCRAT,252,327,225,252,252
3,2004,REPUBLICAN,286,211,313,286,286
4,2008,DEMOCRAT,364,344,229,294,294
5,2008,REPUBLICAN,174,194,309,244,244
6,2012,DEMOCRAT,332,372,286,321,330
7,2012,REPUBLICAN,206,166,252,217,208
8,2016,DEMOCRAT,233,378,282,317,312
9,2016,REPUBLICAN,305,160,256,221,226
10,2020,DEMOCRAT,306,336,261,277,283
11,2020,REPUBLICAN,232,202,277,261,255
