,STNAME,STATE,YEAR,rep_vote_pct,linear_model_predictions,polynomial4_only_predictions,polynomial_3_only_predictions,polynomial_2_predictions,electoral_votes,actual_result,linear_result,poly_4_result,poly_3_result,poly_2_result,actual_result_mapped,linear_result_mapped,poly_4_result_mapped,poly_3_result_mapped,poly_2_result_mapped
0,Alabama,1,2000,0.5758552838974861,0.4558132169044291,0.5352556396584092,0.5360245233367351,0.5103814073526252,9,1.0,0.0,1.0,1.0,1.0,REPUBLICAN,DEMOCRAT,REPUBLICAN,REPUBLICAN,REPUBLICAN
1,Alaska,2,2000,0.6793694856372919,0.6734889292520179,0.6941175912773261,0.7127659292736439,0.6816281722639914,3,1.0,1.0,1.0,1.0,1.0,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN
2,Arizona,4,2000,0.5328259916713985,0.536326676139868,0.5696401652648078,0.5790539976972866,0.5618608976481028,8,1.0,1.0,1.0,1.0,1.0,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN
3,Arkansas,5,2000,0.5280068951042081,0.5063851730356355,0.513410203555317,0.5152581157824869,0.5326292931860834,6,1.0,1.0,1.0,1.0,1.0,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN
4,California,6,2000,0.4379701000092821,0.4892213474030025,0.46493738505485993,0.4473492095433471,0.4526508821411994,54,0.0,0.0,0.0,0.0,0.0,DEMOCRAT,DEMOCRAT,DEMOCRAT,DEMOCRAT,DEMOCRAT
5,Colorado,8,2000,0.5448583576042003,0.5986815872895184,0.5940039200279088,0.6169785013893403,0.6399855543091277,8,1.0,1.0,1.0,1.0,1.0,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN
6,Connecticut,9,2000,0.4074434195114548,0.4805489481092655,0.4859838868312565,0.4891853022154038,0.42333747294367186,8,0.0,0.0,0.0,0.0,0.0,DEMOCRAT,DEMOCRAT,DEMOCRAT,DEMOCRAT,DEMOCRAT
7,Delaware,10,2000,0.4325993521471155,0.48192169179905164,0.5052548147085858,0.5071246691132956,0.5041071126088497,3,0.0,0.0,1.0,1.0,1.0,DEMOCRAT,DEMOCRAT,REPUBLICAN,REPUBLICAN,REPUBLICAN
8,District of Columbia,11,2000,0.0951230552222152,0.3017776558074292,0.12538060653874794,0.10480204759961964,0.07371132510235867,3,0.0,0.0,0.0,0.0,0.0,DEMOCRAT,DEMOCRAT,DEMOCRAT,DEMOCRAT,DEMOCRAT
9,Florida,12,2000,0.4999826538926039,0.4576330024563853,0.4547855533409333,0.45743249446415746,0.4170368796393902,25,1.0,0.0,0.0,0.0,0.0,REPUBLICAN,DEMOCRAT,DEMOCRAT,DEMOCRAT,DEMOCRAT
10,Georgia,13,2000,0.5598375362290265,0.5044414430854336,0.5046911637791069,0.5023301204223429,0.5487437822587395,13,1.0,1.0,1.0,1.0,1.0,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN
11,Hawaii,15,2000,0.4017332194565981,0.4239400533216777,0.3714019664059478,0.37474186585684777,0.29329107969710577,4,0.0,0.0,0.0,0.0,0.0,DEMOCRAT,DEMOCRAT,DEMOCRAT,DEMOCRAT,DEMOCRAT
12,Idaho,16,2000,0.7084849045574401,0.6156080535239146,0.6419085935730706,0.6317138769816495,0.6231374958456684,4,1.0,1.0,1.0,1.0,1.0,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN
13,Illinois,17,2000,0.4381998968416041,0.49615731279260533,0.5054786778365425,0.504283672373262,0.4828740487031098,22,0.0,0.0,1.0,1.0,0.0,DEMOCRAT,DEMOCRAT,REPUBLICAN,REPUBLICAN,DEMOCRAT
14,Indiana,18,2000,0.5800478253258193,0.5462009150119806,0.5345851040712901,0.5380879293957008,0.5443937169601796,12,1.0,1.0,1.0,1.0,1.0,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN
15,Iowa,19,2000,0.4983722081248183,0.5577956891923961,0.51112020466811,0.5130153707615364,0.5000466583924634,7,0.0,1.0,1.0,1.0,1.0,DEMOCRAT,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN
16,Kansas,20,2000,0.6091690746352808,0.5563446368931393,0.5651794880345093,0.5639868384096474,0.5567116249417552,6,1.0,1.0,1.0,1.0,1.0,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN
17,Kentucky,21,2000,0.5772778700401617,0.5436270960167335,0.5068336642012312,0.5139400547100053,0.5268761549688747,8,1.0,1.0,1.0,1.0,1.0,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN
18,Louisiana,22,2000,0.5393924596634723,0.4498496701732049,0.5334509189821617,0.5213304736617346,0.5076960904304926,9,1.0,0.0,1.0,1.0,1.0,REPUBLICAN,DEMOCRAT,REPUBLICAN,REPUBLICAN,REPUBLICAN
19,Maine,23,2000,0.4725215845899958,0.5414673286967093,0.44115324158293845,0.4376657390727132,0.43389731103410867,4,0.0,1.0,0.0,0.0,0.0,DEMOCRAT,REPUBLICAN,DEMOCRAT,DEMOCRAT,DEMOCRAT
